template_id;shot_id;n;plan;angle;place;who;action;parent;role;required
T0;T0-K1;1;СРЕДНИЙ;—;{место};{кто};{действие};null;alone;1
T1;T1-K1;1;ОБЩИЙ;фронт;{место};{A}+{B};оба в кадре;null;master;0
T1;T1-K2;2;СРЕДНИЙ;с_плеча;{место};{A};{действие_A};null;side_A;1
T1;T1-K3;3;СРЕДНИЙ;с_плеча;{место};{B};слушает / смотрит на {A};null;side_B;1
T1;T1-K4;4;ДЕТАЛЬ;макро;{место};—;{предмет};null;insert;0
T1;T1-K5;5;КРУПНЫЙ;фронт;{место};{лицо_удара};реакция;side_of_face;reaction;0
T2;T2-K1;1;ОБЩИЙ;фронт;{место};{кто};вошёл;null;master;0
T2;T2-K2;2;СРЕДНИЙ;3/4;{место};{кто};берёт / открывает {предмет};master;action;1
T2;T2-K3;3;ДЕТАЛЬ;макро;{место};—;{предмет} крупно;master;insert;1
T2;T2-K4;4;КРУПНЫЙ;фронт;{место};{кто};понял;master;reaction;0
T3;T3-K1;1;ОБЩИЙ;фронт;{место};{кто};среда / у входа;null;master;1
T3;T3-K2;2;СРЕДНИЙ;3/4;{место};{кто};{действие};master;enter;0
T4;T4-K1;1;СРЕДНИЙ;3/4;{место};{кто};смотрит;master_or_null;eyeline_out;1
T4;T4-K2;2;ДЕТАЛЬ;макро;{объект};—;то что видит;null;eyeline_object;1
T4;T4-K3;3;КРУПНЫЙ;фронт;{место};{кто};реакция;T4-K1;eyeline_back;0
T5;T5-K0;0;ОБЩИЙ;фронт;{место};{кто};человек в среде;null;master;0
T5;T5-K1;1;СРЕДНИЙ;3/4;{место};{кто};{жест};master;action;1
T5;T5-K2;2;ДЕТАЛЬ;макро;{место};руки;{предмет};master;insert;0
T5;T5-K3;3;КРУПНЫЙ;фронт;{место};{кто};{состояние};master;reaction;0
T6;T6-K1;1;ОБЩИЙ;фронт;{откуда};{кто};вышел;null;start;0
T6;T6-K2;2;СРЕДНИЙ;следование;{путь};{кто};в движении;T6-K1;travel;0
T6;T6-K3;3;ОБЩИЙ;фронт;{куда};{кто};пришёл;null;arrive;1
T7;T7-K1;1;СРЕДНИЙ;3/4;{место};{кто};ещё до удара;master_or_null;before;0
T7;T7-K2;2;ДЕТАЛЬ;макро;{место};—;{удар};null;hit;0
T7;T7-K3;3;КРУПНЫЙ;фронт;{место};{кто};лицо после;side_of_face;reaction;1
T8;T8-Kn;1;ОБЩИЙ;фронт;{место_N};{кто};{действие_N};null;world;1
T9;T9-K1;1;ОБЩИЙ;фронт;{место};{кто};в среде;null;master;0
T9;T9-K2;2;СРЕДНИЙ;3/4;{место};{кто};{быт};master;action;1
T9;T9-K3;3;ДЕТАЛЬ;макро;{место};—;{якорь};master;anchor;0
T10;T10-K1;1;СРЕДНИЙ;3/4;{место};{кто};{последнее};master;point;0
T10;T10-K2;2;ОБЩИЙ;фронт;{место};{кто}|пусто;уходит / пусто;null_if_new_meaning;exit;0
X1;X1-K1;1;СРЕДНИЙ;—;{место};{кто};{новое_действие};prev_location_master;continue;1
X2;X2-A;1;—;—;{место_A};{кто};{действие_A};null;master_A;1
X2;X2-B;2;—;—;{место_B};{кто};{действие_B};null;master_B;1
