id;name;when;axis;shots_full;drop_order;parent_default
T0;один_кадр;"одно_место;одно_действие;нет_диалога;нет_находки";нет;T0-K1;;null
T1;диалог_двое;"двое;говорят|спорят|спрашивают;одно_место";180_фиксирована;"T1-K1;T1-K2;T1-K3;T1-K4;T1-K5";"T1-K5;T1-K4;T1-K1";по_кадру
T2;пришёл_нашёл;"новое_место;нашёл|взял|прочитал;есть_предмет";нет;"T2-K1;T2-K2;T2-K3;T2-K4";"T2-K4;T2-K1";master=K1
T3;новое_место;"смена_места;нет_диалога;нет_находки";нет;"T3-K1;T3-K2";T3-K2;master=K1
T4;взгляд;"смотрит_на;смысл_во_взгляде";eyeline;"T4-K1;T4-K2;T4-K3";"T4-K3;T4-K2";по_кадру
T5;руки_предмет;"руки_работают;пишет|моет|режет|считает|листает";нет;"T5-K0;T5-K1;T5-K2;T5-K3";"T5-K3;T5-K0;T5-K2";master
T6;путь;"идёт|едет;откуда_и_куда";нет;"T6-K1;T6-K2;T6-K3";"T6-K2;T6-K1";по_кадру
T7;удар;"услышал|понял|получил;короткий_слом;не_хвост_диалога";нет;"T7-K1;T7-K2;T7-K3";"T7-K1;T7-K2";по_кадру
T8;монтаж_мест;"годы|а_потом|другая_жизнь;несколько_мест";нет;"T8-K1;T8-Kn";;все_null
T9;один_в_месте;"один;одно_помещение;быт|ожидание;нет_диалога;нет_находки";нет;"T9-K1;T9-K2;T9-K3";"T9-K3;T9-K1";master=K1
T10;уход;уходит|сцена_конец|пустое_место;нет;"T10-K1;T10-K2";"T10-K1;T10-K2";по_кадру
X1;хвост_то_же_место;"следующая_ячейка;место_не_сменилось";нет;X1-K1;;prev_location_master
X2;хвост_смена_места;"следующая_ячейка;место_сменилось";нет;"X2-A;X2-B";;все_null
