Универсальные шаблоны: сцена → кадры;
;
Листы;
;
Лист;Что внутри
Каталог;все типы T0–T10 и хвосты X1–X2: когда, лестница кадров, parent, сжатие, эталон
Кадры;каждый кадр каждой схемы отдельной строкой
Сжатие;все варианты укорочения лестницы
Выбор;дерево решения: первое «да» → шаблон
Цепи;как склеивать шаблоны в ролике
Parent;сводка правил родителя
;
Слоты: {место} {A} {B} {предмет} {кто} {откуда} {куда} — подставляешь под конкретный ролик.;
Текст короткий — выкидывай кадры с конца лестницы. Первый ОБЩИЙ нового места не выкидывай.;
Одно действие на кадр. Два жеста = два кадра.;
