Шаблон;Вариант;Какие кадры остаются;Когда
T0;полная;T0-K1;базовый один кадр
T1;полная;K1+K2+K3+K4+K5;диалог с предметом и ударом
T1;T1-c3;K1+K2+K3;нет предмета
T1;T1-c2;K2+K3;место уже было в прошлой сцене
T1;T1-c1;без K4 и/или без K5;нет предмета / нет удара
T2;полная;K1+K2+K3+K4;вошёл → взял → деталь → понял
T2;T2-c3;K2+K3+K4;место уже знакомо
T2;T2-c2;K1+K2+K3;нет «понял» в тексте
T2;T2-c1;не T2;предмет не назван → T3 или T9
T3;полная;K1+K2;новое место + человек внутри
T3;T3-c1;K1;очень коротко
T3;T3-c0;T0;место уже мелькало
T4;полная;K1+K2+K3;смотрит → объект → реакция
T4;T4-c2;K1+K2;реакция ясна из закадра
T4;T4-c2b;K1+K3;предмет уже показали
T5;полная;K0?+K1+K2+K3;K0 только если место новое
T5;T5-c2;K1+K2;нет эмоции
T5;T5-c1a;K2;важен только предмет
T5;T5-c1b;K1;важен только жест
T6;полная;K1+K2+K3;откуда → путь → куда
T6;T6-c2;K1+K3;короткий переход
T6;T6-c1;K3;«ушёл» не важно
T7;полная;K1+K2+K3;до → удар → лицо
T7;T7-c2;K2+K3;без «до»
T7;T7-c1;K3;удар уже в звуке
T8;полная;K1…Kn;n = число мест в закадре
T9;полная;K1+K2+K3;комната → действие → якорь
T9;T9-c1;T0;одно действие, место не новое
T10;полная;K1+K2;последнее действие → уход/пусто
T10;T10-c1a;K2;только итог
T10;T10-c1b;K1;уход не важен
X1;полная;K1 (+деталь/лицо);продолжение того же места
X2;полная;A + B;"два master; переход → +T6"
